"year","state","sector","source","carbdiox_millmtrcton"
1995,"alabama","Electric Power","Petroleum Products",0.1
1995,"alabama","Electric Power","Natural Gas",0.5
1995,"alabama","Electric Power","All",65.1
1995,"alabama","All","Coal",78
1995,"alabama","All","Petroleum Products",35.9
1995,"alabama","All","Natural Gas",17.6
1995,"alabama","All","All",131.5
1996,"alabama","Residential","Coal",0
1996,"alabama","Residential","Petroleum Products",0.6
1996,"alabama","Residential","Natural Gas",3.1
1996,"alabama","Residential","All",3.7
1996,"alabama","Commercial","Coal",0.1
1996,"alabama","Commercial","Petroleum Products",0.5
1996,"alabama","Commercial","Natural Gas",1.6
1996,"alabama","Commercial","All",2.2
1996,"alabama","Industrial","Coal",14
1996,"alabama","Industrial","Petroleum Products",4.1
1996,"alabama","Industrial","Natural Gas",11.8
1996,"alabama","Industrial","All",29.9
1996,"alabama","Transportation","Coal",0
1996,"alabama","Transportation","Petroleum Products",30.4
1996,"alabama","Transportation","Natural Gas",1.1
1996,"alabama","Transportation","All",31.4
1996,"alabama","Electric Power","Coal",69.8
1996,"alabama","Electric Power","Petroleum Products",0.1
1996,"alabama","Electric Power","Natural Gas",0.4
1996,"alabama","Electric Power","All",70.3
1996,"alabama","All","Coal",83.9
1996,"alabama","All","Petroleum Products",35.7
1996,"alabama","All","Natural Gas",17.9
1996,"alabama","All","All",137.5
1997,"alabama","Residential","Coal",0
1997,"alabama","Residential","Petroleum Products",0.7
1997,"alabama","Residential","Natural Gas",2.7
1997,"alabama","Residential","All",3.4
1997,"alabama","Commercial","Coal",0.1
1997,"alabama","Commercial","Petroleum Products",0.5
1997,"alabama","Commercial","Natural Gas",1.8
1997,"alabama","Commercial","All",2.4
1997,"alabama","Industrial","Coal",13.7
1997,"alabama","Industrial","Petroleum Products",3.6
1997,"alabama","Industrial","Natural Gas",11.6
1997,"alabama","Industrial","All",29
1997,"alabama","Transportation","Coal",0
1997,"alabama","Transportation","Petroleum Products",29.9
1997,"alabama","Transportation","Natural Gas",1.1
1997,"alabama","Transportation","All",31.1
1997,"alabama","Electric Power","Coal",67.9
1997,"alabama","Electric Power","Petroleum Products",0.1
1997,"alabama","Electric Power","Natural Gas",0.6
1997,"alabama","Electric Power","All",68.6
1997,"alabama","All","Coal",81.7
1997,"alabama","All","Petroleum Products",34.8
1997,"alabama","All","Natural Gas",17.9
1997,"alabama","All","All",134.4
1998,"alabama","Residential","Coal",0
1998,"alabama","Residential","Petroleum Products",0.5
1998,"alabama","Residential","Natural Gas",2.6
1998,"alabama","Residential","All",3.1
1998,"alabama","Commercial","Coal",0
1998,"alabama","Commercial","Petroleum Products",0.5
1998,"alabama","Commercial","Natural Gas",1.4
1998,"alabama","Commercial","All",1.9
1998,"alabama","Industrial","Coal",11.8
1998,"alabama","Industrial","Petroleum Products",3.1
1998,"alabama","Industrial","Natural Gas",11.5
1998,"alabama","Industrial","All",26.4
1998,"alabama","Transportation","Coal",0
1998,"alabama","Transportation","Petroleum Products",30.5
1998,"alabama","Transportation","Natural Gas",1.1
1998,"alabama","Transportation","All",31.6
1998,"alabama","Electric Power","Coal",68.9
1998,"alabama","Electric Power","Petroleum Products",0.2
1998,"alabama","Electric Power","Natural Gas",1.5
1998,"alabama","Electric Power","All",70.6
1998,"alabama","All","Coal",80.8
1998,"alabama","All","Petroleum Products",34.8
1998,"alabama","All","Natural Gas",18.1
1998,"alabama","All","All",133.7
1999,"alabama","Residential","Coal",0
1999,"alabama","Residential","Petroleum Products",1
1999,"alabama","Residential","Natural Gas",2.3
1999,"alabama","Residential","All",3.3
1999,"alabama","Commercial","Coal",0
1999,"alabama","Commercial","Petroleum Products",0.6
1999,"alabama","Commercial","Natural Gas",1.5
1999,"alabama","Commercial","All",2.2
1999,"alabama","Industrial","Coal",11.4
1999,"alabama","Industrial","Petroleum Products",3.3
1999,"alabama","Industrial","Natural Gas",12.1
1999,"alabama","Industrial","All",26.8
1999,"alabama","Transportation","Coal",0
1999,"alabama","Transportation","Petroleum Products",30.8
1999,"alabama","Transportation","Natural Gas",1.2
1999,"alabama","Transportation","All",32
1999,"alabama","Electric Power","Coal",70.3
1999,"alabama","Electric Power","Petroleum Products",0.1
1999,"alabama","Electric Power","Natural Gas",1.4
1999,"alabama","Electric Power","All",71.8
1999,"alabama","All","Coal",81.7
1999,"alabama","All","Petroleum Products",35.8
1999,"alabama","All","Natural Gas",18.5
1999,"alabama","All","All",136.1
2000,"alabama","Residential","Coal",0
2000,"alabama","Residential","Petroleum Products",1
2000,"alabama","Residential","Natural Gas",2.6
2000,"alabama","Residential","All",3.7
2000,"alabama","Commercial","Coal",0.1
2000,"alabama","Commercial","Petroleum Products",0.7
2000,"alabama","Commercial","Natural Gas",1.4
2000,"alabama","Commercial","All",2.2
2000,"alabama","Industrial","Coal",10.9
2000,"alabama","Industrial","Petroleum Products",3.3
2000,"alabama","Industrial","Natural Gas",11.9
2000,"alabama","Industrial","All",26.1
2000,"alabama","Transportation","Coal",0
2000,"alabama","Transportation","Petroleum Products",32.2
2000,"alabama","Transportation","Natural Gas",1.3
2000,"alabama","Transportation","All",33.4
2000,"alabama","Electric Power","Coal",74.2
