"year","state","population"
1998,"nebraska",1695816
1998,"new hampshire",1205940
1998,"new jersey",8287418
1998,"new mexico",1793484
1998,"nevada",1853191
1998,"new york",18755906
1998,"ohio",11311536
1998,"oklahoma",3405194
1998,"oregon",3352449
1998,"pennsylvania",12245672
1998,"rhode island",1031155
1998,"south carolina",3919235
1998,"south dakota",746058
1998,"tennessee",5570045
1998,"texas",20157531
1998,"utah",2165960
1998,"virginia",6900918
1998,"vermont",600416
1998,"washington",5769562
1998,"wisconsin",5297672
1998,"west virginia",1815609
1998,"wyoming",490787
1999,"alaska",624779
1999,"alabama",4430141
1999,"arkansas",2651860
1999,"arizona",5023823
1999,"california",33499204
1999,"colorado",4226018
1999,"connecticut",3386401
1999,"district of columbia",570213
1999,"delaware",774990
1999,"florida",15759421
1999,"georgia",8045965
1999,"hawaii",1210300
1999,"iowa",2917634
1999,"idaho",1275674
1999,"illinois",12359020
1999,"indiana",6044969
1999,"kansas",2678338
1999,"kentucky",4018053
1999,"louisiana",4460811
1999,"massachusetts",6317345
1999,"maryland",5254509
1999,"maine",1266808
1999,"michigan",9897116
1999,"minnesota",4873481
1999,"missouri",5561948
1999,"mississippi",2828408
1999,"montana",897507
1999,"north carolina",7949361
1999,"north dakota",644259
1999,"nebraska",1704764
1999,"new hampshire",1222014
1999,"new jersey",8359592
1999,"new mexico",1808082
1999,"nevada",1934718
1999,"new york",18882725
1999,"ohio",11335454
1999,"oklahoma",3437147
1999,"oregon",3393941
1999,"pennsylvania",12263805
1999,"rhode island",1040402
1999,"south carolina",3974682
1999,"south dakota",750412
1999,"tennessee",5638706
1999,"texas",20558220
1999,"utah",2203482
1999,"virginia",7000174
1999,"vermont",604683
1999,"washington",5842564
1999,"wisconsin",5332666
1999,"west virginia",1811799
1999,"wyoming",491780
2000,"alaska",627963
2000,"alabama",4452173
2000,"arkansas",2678588
2000,"arizona",5160586
2000,"california",33987977
2000,"colorado",4326921
2000,"connecticut",3411777
2000,"district of columbia",572046
2000,"delaware",786373
2000,"florida",16047515
2000,"georgia",8227303
2000,"hawaii",1213519
2000,"iowa",2929067
2000,"idaho",1299430
2000,"illinois",12434161
2000,"indiana",6091866
2000,"kansas",2693681
2000,"kentucky",4049021
