"year","state","gdp.nominal","gdp.adjusted"
1993,"massachusetts",173527,1383010
1993,"michigan",226368,1804152
1993,"minnesota",117947,940037
1993,"mississippi",47340,377299
1993,"missouri",118906,947680
1993,"montana",16054,127950
1993,"nebraska",39353,313643
1993,"nevada",40039,319110
1993,"new hampshire",27362,218075
1993,"new jersey",240389,1915900
1993,"new mexico",36876,293901
1993,"new york",537504,4283906
1993,"north carolina",168006,1339007
1993,"north dakota",13049,104000
1993,"ohio",259612,2069107
1993,"oklahoma",65552,522449
1993,"oregon",69409,553189
1993,"pennsylvania",281704,2245180
1993,"rhode island",23566,187821
1993,"south carolina",76158,606979
1993,"south dakota",16105,128356
1993,"tennessee",119568,952956
1993,"texas",443775,3536886
1993,"utah",38631,307889
1993,"vermont",13027,103825
1993,"virginia",167688,1336473
1993,"washington",142500,1135725
1993,"west virginia",31881,254091
1993,"wisconsin",120024,956591
1993,"wyoming",13791,109914
1994,"alabama",90098,718081
1994,"alaska",23605,188131
1994,"arizona",100374,799980
1994,"arkansas",51416,409785
1994,"california",861360,6865039
1994,"colorado",104507,832920
1994,"connecticut",113115,901526
1994,"delaware",25638,204334
1994,"district of columbia",46655,371840
1994,"florida",327167,2607520
1994,"georgia",187996,1498328
1994,"hawaii",37395,298038
1994,"idaho",25455,202876
1994,"illinois",347971,2773328
1994,"indiana",143335,1142379
1994,"iowa",70161,559183
1994,"kansas",63304,504532
1994,"kentucky",87646,698538
1994,"louisiana",105119,837798
1994,"maine",26543,211547
1994,"maryland",133311,1062488
1994,"massachusetts",185710,1480108
1994,"michigan",251484,2004327
1994,"minnesota",128167,1021490
1994,"mississippi",51602,411267
1994,"missouri",130567,1040618
1994,"montana",17062,135984
1994,"nebraska",43504,346726
1994,"nevada",45173,360028
1994,"new hampshire",29190,232644
1994,"new jersey",251573,2005036
1994,"new mexico",41685,332229
1994,"new york",555322,4425916
1994,"north carolina",181288,1444865
1994,"north dakota",14304,114002
1994,"ohio",281925,2246942
1994,"oklahoma",68251,543960
1994,"oregon",75393,600882
1994,"pennsylvania",296602,2363917
1994,"rhode island",24354,194101
1994,"south carolina",82062,654034
1994,"south dakota",17330,138120
1994,"tennessee",129895,1035263
1994,"texas",475990,3793640
1994,"utah",42591,339450
1994,"vermont",13689,109101
1994,"virginia",177057,1411144
1994,"washington",150805,1201915
1994,"west virginia",34592,275698
1994,"wisconsin",129437,1031612
1994,"wyoming",14070,112137
1995,"alabama",95819,763677
1995,"alaska",25449,202828
1995,"arizona",109906,875950
1995,"arkansas",54612,435257
1995,"california",911577,7265268
1995,"colorado",112708,898282
1995,"connecticut",123212,981999
1995,"delaware",27721,220936
1995,"district of columbia",47094,375339
1995,"florida",346951,2765199
1995,"georgia",203397,1621074
1995,"hawaii",37763,300971
1995,"idaho",27762,221263
1995,"illinois",364451,2904674
1995,"indiana",150404,1198719
1995,"iowa",73137,582901
1995,"kansas",65282,520297
1995,"kentucky",91915,732562
1995,"louisiana",112876,899621
1995,"maine",28153,224379
1995,"maryland",139070,1108387
1995,"massachusetts",196409,1565379
1995,"michigan",256615,2045221
1995,"minnesota",135124,1076938
1995,"mississippi",54984,438222
1995,"missouri",140060,1116278
1995,"montana",17519,139626
1995,"nebraska",45111,359534
1995,"nevada",49249,392514
1995,"new hampshire",31876,254051
1995,"new jersey",263468,2099839
1995,"new mexico",42146,335903
1995,"new york",582656,4643768
1995,"north carolina",193467,1541931
1995,"north dakota",14842,118290
1995,"ohio",297538,2371377
1995,"oklahoma",70859,564746
1995,"oregon",81554,649985
1995,"pennsylvania",312989,2494522
1995,"rhode island",25550,203633
1995,"south carolina",87248,695366
1995,"south dakota",18054,143890
1995,"tennessee",137061,1092376
1995,"texas",507725,4046568
1995,"utah",46746,372565
1995,"vermont",13891,110711
1995,"virginia",186236,1484300
1995,"washington",155069,1235899
1995,"west virginia",36149,288107
1995,"wisconsin",135311,1078428
1995,"wyoming",14608,116425
1996,"alabama",100146,798163
1996,"alaska",26737,213093
1996,"arizona",119530,952654
1996,"arkansas",57976,462068
1996,"california",964186,7684562
1996,"colorado",121081,965015
1996,"connecticut",129111,1029014
1996,"delaware",29156,232373
1996,"district of columbia",47823,381149
1996,"florida",370912,2956168
1996,"georgia",219989,1753312
1996,"hawaii",38125,303856
1996,"idaho",28915,230452
1996,"illinois",383504,3056526
1996,"indiana",158350,1262049
1996,"iowa",78819,628187
1996,"kansas",69616,554839
1996,"kentucky",96617,770037
1996,"louisiana",118807,946891
1996,"maine",29256,233170
1996,"maryland",145023,1155833
1996,"massachusetts",210630,1678721
1996,"michigan",270320,2154450
1996,"minnesota",145880,1162663
1996,"mississippi",57460,457956
1996,"missouri",148257,1181608
1996,"montana",18119,144408
1996,"nebraska",49007,390585
1996,"nevada",54419,433719
1996,"new hampshire",34561,275451
1996,"new jersey",278191,2217182
1996,"new mexico",44532,354920
1996,"new york",620153,4942619
1996,"north carolina",203815,1624405
1996,"north dakota",16491,131433
1996,"ohio",311120,2479626
1996,"oklahoma",76316,608238
1996,"oregon",93306,743648
1996,"pennsylvania",325001,2590257
1996,"rhode island",26454,210838
1996,"south carolina",90755,723317
1996,"south dakota",19419,154769
1996,"tennessee",143163,1141009
1996,"texas",551513,4395558
1996,"utah",52016,414567
1996,"vermont",14672,116935
1996,"virginia",197756,1576115
1996,"washington",166540,1327323
1996,"west virginia",37224,296675
1996,"wisconsin",143444,1143248
1996,"wyoming",15752,125543
1997,"alabama",104805,835295
1997,"alaska",27581,219820
1997,"arizona",129279,1030353
1997,"arkansas",60333,480854
1997,"california",1037091,8265615
1997,"colorado",133204,1061635
1997,"connecticut",140280,1118031
1997,"delaware",31450,250656
1997,"district of columbia",49702,396124
1997,"florida",393074,3132799
1997,"georgia",235200,1874544
1997,"hawaii",39064,311340
1997,"idaho",30312,241586
1997,"illinois",408048,3252142
1997,"indiana",167366,1333907
1997,"iowa",83113,662410
1997,"kansas",74147,590951
1997,"kentucky",103621,825859
1997,"louisiana",126003,1004243
1997,"maine",30775,245276
1997,"maryland",154783,1233620
1997,"massachusetts",226880,1808233
1997,"michigan",286408,2282671
1997,"minnesota",156650,1248500
1997,"mississippi",59875,477203
1997,"missouri",158308,1261714
1997,"montana",18932,150888
1997,"nebraska",50308,400954
1997,"nevada",59467,473951
1997,"new hampshire",36935,294371
1997,"new jersey",292671,2332587
1997,"new mexico",48683,388003
1997,"new york",664679,5297491
1997,"north carolina",221259,1763434
1997,"north dakota",16501,131512
1997,"ohio",332476,2649833
1997,"oklahoma",81106,646414
1997,"oregon",100363,799893
1997,"pennsylvania",342662,2731016
1997,"rhode island",28717,228874
1997,"south carolina",96465,768826
1997,"south dakota",19765,157527
1997,"tennessee",152687,1216915
1997,"texas",606982,4837646
1997,"utah",55212,440039
1997,"vermont",15521,123702
1997,"virginia",210361,1676577
1997,"washington",179639,1431722
1997,"west virginia",38570,307402
1997,"wisconsin",151035,1203748
1997,"wyoming",16084,128189
